id,new_name,old_name,description,family_id
1,Drake Slime,DrakSlime,Moves & jumps with its tail and wings,1
2,Mottle Slime,SpotSlime,Larger than a regular slime & spotted,1
3,Wing Slime,WingSlime,Flies with wings that grew on its back,1
4,Tree slime,TreeSlime,Its leafy top absorbs energy from sunlight,1
5,Shell Slime,Snaily,Hides in its shell when under attack,1
6,Slime Knight,SlimeNite,The knight riding on this slime is part of it's body,1
7,Bubble Slime,Babble,Can transform its body into any shape,1
8,Box Slime,BoxSlime,Being trapped in a box gives this slime it's shape,1
9,Slime,Slime,The most abundant of this popular specie,1
10,Healslime,Healer,Uses its powerful tentacles to move about,1
11,Wild slime,FangSlime,Has a red Mohawk and is very brave & proud,1
12,Rubble slime,RockSlime,Its skin is as hard as rock,1
13,Cyber slime,SlimeBorg,Oil flows through its body instead of blood,1
14,Slabbit,Slabbit,Flees very fast with its strong hind legs,1
15,Mottle king slime,SpotKing,Several SpotSlimes combined into one to form this King,1
16,King slime,KingSlime,Several Slimes combined into one to form this King,1
17,Metal Slime,Metaly,Its diet of iron gives this slime a metal body,1
18,Liquid Metal Slime,Metabble,Produces strong weapons from its body,1
19,Metal king slime,MetalKing,Several Metalys combined to form this King,1
20,Gem slime,GoldSlime,The toughest creature in the slime family,1
21,Small fry,DragonKid,It does not grow any bigger than this,2
22,Wyrtle,Tortragon,It has a tough shell but it can't hide inside it,2
23,Pteranodon,Pteranod,Flaps its large wings and flies with authority,2
24,Gasbagon,Gasgon,Traps gas in its belly to float in the air,2
25,Damselfly,FairyDrak,Uses its tongue to suck nectar from flowers,2
26,Mandrake major,LizardMan,Smart enough to skillfully use a sword & shield,2
27,Killer gila,Poisongon,The fluid that is secreted from its fin is poisonous,2
28,Swordgon,Swordgon,Its body is covered with sword-like spikes,2
29,Dragon,Dragon,The oldest living species of dragon,2
30,Komodo,MiniDrak,Runs by using its hands & long tail for balance,2
31,Drag-goof,MadDragon,Runs by using its hands & long tail for balance,2
32,Wyvern,Rayburn,Can grab prey with its talons & fly off,2
33,Biguana,Chamelgon,Changes its skin color for camouflage,2
34,Dragonfry,LizardFly,Hovers in midair with its thin wings,2
35,Rashaverak,Andreal,Sharp claws & fangs are its most deadly weapons,2
36,Cobra king,KingCobra,Its poisonous bite and sharp fangs are deadly,2
37,Tortoceratops,Spikerous,Its spiky hard shell protects itself from danger,2
38,Great dragon,GreatDrak,The biggest dragon in the dragon family,2
39,Crested viper,Crestpent,It shakes its crest to terrorize its enemies,2
40,Flython,WingSnake,Glides through the air with its large wings,2
41,Coatol,Coatol,Constricts its enemies with its powerful body,2
42,Orochi,Orochi,Its 5 heads can do different things at the same time,2
43,Hacksaurus,BattleRex,Attacks by swinging its powerful giant ax,2
44,Ethereal serpent,Skydragon,Floats freely in midair with its magical powers,2
45,Xenlon,Divinegon,"If you defeat it, your wish will be granted",2
46,Poxtongue,Tonguella,Moves slowly but its long tongue is deadly,3
47,Spiked hare,Almiraj,"When cornered, it charges with its sharp horns",3
48,Vampire cat,CatFly,Can see in the dark and preys at night,3
49,Feralball,PillowRat,Soft & fluffy fur covers its body,3
50,Bagworm,Saccer,Lives in a sack made out of branches,3
51,Drackal,GulpBeast,It devours its prey in one big gulp,3
52,Guaardvark,Skullroo,Attacks by throwing skulls at its enemies,3
53,Cyclown,WindBeast,Creates tornadoes with its legs to defend itself,3
54,Antguzzler,Anteater,Uses its tongue to attack & snare prey,3
55,Sluggernaut,SuperTen,It likes to show off its dance moves,3
56,Armoured wartoise,IronTurt,Its spiked shell makes its body slam attack deadly,3
57,Platypunk,Mommonja,It follows you like a dog,3
58,Hammerhood,HammerMan,It has a hammer bigger than itself,3
59,Ursa major,Grizzly,Uses its strong arms to squeeze its prey,3
60,Powie yowie,Yeti,Its body is covered with a thick fur,3
61,Mad mole,MadGopher,It can dig very deep holes with its shovel,3
62,Mousenap,FairyRat,Its ears act as wings allowing it to fly,3
63,Eewnicorn,Unicorn,Its horn is used to make medicines,3
64,Rampage,Goategon,Charges enemies with its sharp & twisted horns,3
65,Wackanape,WildApe,Lives in groups with one dominant male boss,3
66,Eyevory tusk-tusk,Trumpeter,Its tusks are used to create craft work,3
67,Marquis de Leon,KingLeo,Uses its 4 hands & 4 arms skillfully in combat,3
68,Battering Ram,DarkHorn,Its pelt commands a high price,3
69,Great sabrecat,MadCat,Moves very swiftly to catch its prey,3
70,Cross eye,BigEye,Looks up at the sky & dozes off all day,3
71,Bludgerigar,Picky,It's flightless but it can run quickly,4
72,Chimaera,Wyvern,It has an eagle's head & a body of a serpent,4
73,Bullfinch,BullBird,Sleeps right after it makes a kill,4
74,Kingfuchsia,Florajay,Its flower like face lures bugs to their doom,4
75,Quack up,DuckKite,Spreads its wings to make itself look bigger,4
76,Weaken beakon,MadPecker,Rips flesh from its prey with its strong beak,4
77,Stark raven,MadRaven,Attacks by dropping skulls from the air,4
78,Mistywing,MistyWing,Its mist like body glows pinkish in the dark,4
79,Dracky,Dracky,Prefers darkness and sucks blood with its fangs,4
80,Batanmaweight,BigRoost,Its firm flesh is good eating,4
81,Crested loon,StubBird,A very stubborn bird,4
82,Growlbear,LandOwl,A flightless owl with strong talons and sharp claws,4
83,Deadly dodo,MadGoose,A migratory bird that can be very violent,4
84,Hades condor,MadCondor,"It has big wings, deadly sharp claws & a powerful beak",4
85,Snowbird,Blizzardy,Breathes out freezing air to defeat its prey,4
86,Firebird,Phoenix,Roasts its prey with its fiery breath,4
87,Thunderbird,ZapBird,Attacks with the thundercloud that covers its body,4
88,Whipbird,WhipBird,Attacks with its whip-like legs & knife-like claws,4
89,Funkybird,FunkyBird,Likes to dance & sing,4
90,Prism peacock,RainHawk,It has 4 strong legs & a pair of powerful wings,4
91,Mental pitcher,MadPlant,Secretes sweet sap to attract bugs,5
92,Flame flower,FireWeed,Its flame breath is its deadly weapon,5
93,Budding sorcerer,FloraMan,Can live several hundred years and is very wise,5
94,Monolog,WingTree,Stores gas inside its body to float in the air,5
95,CactiBall,CactiBall,Stores water inside the body to survive in deserts,5
96,Bad apple,Gulpple,Gulps up the monsters to stock up on its evil powers,5
97,Morphean mushroom,Toadstool,Plants its spores on its prey to multiply,5
98,AmberWeed,AmberWeed,Secretes sap that hardens its body,5
99,Stump Chump,Stubsuck,Uses its roots to suck out the preys bodily fluid,5
100,Ornery onion,Oniono,Grows out its roots when its ready to breed,5
101,Wild carrot,DanceVegi,Its bad balance forces it to walk like its dancing,5
102,Tree feller,TreeBoy,A spirit that lives in a very old tree,5
103,Treeface,FaceTree,Its roots suck evil power from the ground,5
104,HerbMan,HerbMan,Its roots can be used to make a cure medicine,5
105,Beanie meanie,BeanMan,Travels to find a place to plant its seeds,5
106,EvilSeed,EvilSeed,Clings on its host with its tentacles,5
107,Chewlip,ManEater,Dissolves its prey with its digestive acid,5
108,Carnivine,Snapper,The 3 buds sink their teeth into its prey,5
109,Gripevine,Rosevine,Squeezes its prey with its thorny vines,5
110,Watabou,Watabou,A mischievous mystical creature,5
111,Maulusc,GiantSlug,Its mucus contains digestive enzymes,6
112,Killerpillar,Catapila,This caterpillar does not grow to become a moth,6
113,Boring bug,Gophecada,"Since it lives underground, it hates light",6
114,Batterfly,Butterfly,Powder on its wings have hallucinogenic effect,6
115,WeedBug,WeedBug,Its weed-top sucks up energy & emits evil power,6
116,Wiggly,GiantWorm,Finds its prey with its acute sense of smell,6
117,Lips,Lipsy,Paralyzes its prey with its deadly kiss,6
118,Scissor beatle,StagBug,Repels attacks with its hard shell,6
119,Army ant,ArmyAnt,"Its body is small, but its jaw is powerful",6
120,Walking stick,GoHopper,Makes a weird sound when it flies,6
121,Mad mollusk,TailEater,Sucks on its prey with its tail-like mouth,6
122,Sentripede,ArmorPede,A shell protects its back but not its belly,6
123,Lunatick,Eyeder,Each tentacle has a specific function,6
124,Giant moth,GiantMoth,Creates a violent wind with its huge wings,6
125,Drohl drone,Droll,Protruding eyes gives a large field of vision,6
