ID,category_type,family_type,new_name,old_name,description,mp_cost,required_level,required_hp,required_mp,required_attack,required_defense,required_speed,required_intelligence,upgrade_to_id,upgrade_from_id
1,Attack,Frizz,Frizz,Blaze,Inflict damage with small fireball ,2,2,,7,,,,20,2,
2,Attack,Frizz,Frizzle,Blazemore,Inflict damage with giant fireball,4,13,,46,,,,64,3,1
3,Attack,Frizz,Kafrizzle,Blazemost,Inflicts damage with pillars of fire,10,28,,112,,,,146,,2
4,Attack,Frizz,Flame Slash,FireSlash,Burning blade sword attack,3,11,77,34,66,,,42,,
5,Attack,Frizz,Big Banga,BigBang,Create a huge explosion to attack all enemies,30,36,196,196,,,,208,,
6,Attack,Sizz,Sizz,Firebal,Inflicts damage to all enemies with a small blaze,4,3,,11,,,,23,7,
7,Attack,Sizz,Sizzle,Firebane,Inflicts damage to all enemies with a big blaze,6,10,,34,,,,52,8,6
8,Attack,Sizz,Kasizzle,Firebolt,Inflicts damage to all enemies with a huge blaze,10,26,,96,,,,122,,7
9,Attack,Bang,Bang,Bang,Inflicts damage to all enemies with a small explosion,5,4,,13,,,,26,9,
10,Attack,Bang,Boom,Boom,Inflicts damage to all enemies with a medium explosion,8,14,,50,,,,68,10,9
11,Attack,Bang,Kaboom,Explodet,Inflicts damage to all enemies with a huge explosion,15,29,,120,,,,158,,10
12,Attack,Woosh,Woosh,Infernos,Inflicts damages to all enemies with a whirlwind,2,2,,10,,,,21,13,
13,Attack,Woosh,Swoosh,Infermore,Influcts damage to all enemies with a tornado,4,11,,38,,,,56,14,12
14,Attack,Woosh,Kaswoosh,Infermost,Inflicts damage to all enemies with a hurricane,8,27,,104,,,,134,,13
15,Attack,Woosh,Wind Sickles,Windbeast,Attacks an enemy with a violent whirlwind,3,13,74,,60,,84,,16,
16,Attack,Woosh,Thin Air,Vacuum,Attacks all enemies with a giant vaccum,6,19,112,,114,,132,,,15
17,Attack,Woosh,Gust Slash,VacuSlash,Whirling Vacuum sword attack,3,11,77,34,66,,,42,,
18,Attack,Woosh,Pearly Gates,Multicut,Inflict damage to all enemies with many cuts,20,28,154,140,168,,168,148,,
19,Attack,Zap,Zap,Bolt,Strikes all enemies with lightning,5,6,,20,,,,35,20,
20,Attack,Zap,Zapple,Zap,Strikes all enemies with a thunderbolt,10,15,,54,,,,72,21,19
21,Attack,Zap,Kazap,Thordain,Strike all enemies with thunderbolts,15,30,,128,,,,170,,20
22,Attack,Zap,Lightning,Lightning,Calls on lightning attack to all enemies,3,10,65,,90,,52,,,
23,Attack,Zap,Lightning Slash,BoltSlash,Lightning sword attack,3,11,77,34,66,,,42,,
24,Attack,Zap,Lightning Storm,Hellblast,Hell powered lightning blast attack ,25,34,184,184,,,,196,,
25,Attack,Crack,Crack,Icebolt,Cold attack on all enemies,3,5,,16,,,,30,26,
26,Attack,Crack,Crackle,Snowstorm,Turns all enemies into ice,5,12,,42,,,,60,27,25
27,Attack,Crack,Kacrackle,Blizzard,Attacks all enemies with a frigid blizzard,12,25,,88,,,,110,,26
28,Attack,Crack,Kacrackle Slash,IceSlash,Freezing ice sword attack,3,11,77,34,66,,,42,,
29,Attack,Whack,Whack,Beat,Instantly knocks out an enemy (can fail),4,16,,58,,,,76,30,
30,Attack,Whack,Thwack,Defeat,Instantly knocks out all enemies (can fail),7,24,,80,,,,98,,29
31,Attack,Whack,Death Dance,K.O. Dance,Instantly knocks out all enemies,6,20,140,72,,,120,120,,
32,Attack,Kamikazee,Kamikazee,Sacrifice,K.O. caster and all enemies,1,2,,7,,,,6,,
33,Attack,Kamikazee,Body Slam,Ramming,Attack like a ram [receive damage back] ,1,12,70,,,,,70,,
34,Attack,Kamikazee,One-on-One,Kamikaze,"A suicide attack, K.O's the enemy ",1,18,126,,108,108,,,,
35,Attack,Magic Burst,Magic Burst,MegaMagic,The most powerful spell to affect all enemies,999,38,,210,,,,224,,
36,Attack,Help,Boulder Toss,RockThrow,Throws a huge rock on all enemies,5,16,124,,102,,,,,
37,Attack,Help,Call for backup,CallHelp,Calls for a backup,4,17,84,42,,,68,54,38,
38,Attack,Help,,YellHelp,Summon allies to attack,8,23,128,64,,,82,74,,37
39,Attack,Fire,Fire Breath,FireAir,Breathes out fire to inflict damage on all enemies,2,3,21,,,,,,40,
40,Attack,Fire,Flame Breath,BlazeAir,Blows out a blaze to inflict damage on all enemies,4,10,40,,,,,,41,39
41,Attack,Fire,Inferno,Scorching,Burns all enemies with a devastating flame,8,20,140,,,,,,42,40
42,Attack,Fire,Scorch,WhiteFire,Attacks all enemies with an unimaginable blaze,16,30,210,,,,,,,41
