id,name_ja,category_ja,description_ja,shop_ja
1,やくそう,回復,HPを30前後回復。,バザーショップ1
2,アモールのみず,回復,HPを70前後回復。,バザーショップ1
3,どくけしそう,回復,毒状態を回復。,バザーショップ1
4,せいすい,ダンジョン,異世界で使用。魔物出現率を下げる。,バザーショップ1
5,まもののエサ,肉,敵の魔物を仲間にしやすくする。あるいは味方の野生度を下げる。,バザーショップ1
6,くんせいにく,肉,敵の魔物を仲間にしやすくする。あるいは味方の野生度を下げる。,バザーショップ1
7,キメラのつばさ,ダンジョン,ダンジョン脱出。城に戻る。,バザーショップ1
8,ももんじゃのしっぽ,ダンジョン,次の落とし穴の方向が分かる。,バザーショップ1
9,まほうのせいすい,回復,MPを20前後回復。,バザーショップ2
10,せかいじゅのしずく,回復,仲間全体のHPを回復。,バザーショップ2
11,けんじゃのいし,回復,仲間全体のHPを60前後回復。,バザーショップ2
12,せかいじゅのは,回復,仲間単体の戦闘不能状態を回復。,バザーショップ2
13,レミラーマそう,ダンジョン,周囲のマップを見せる。,バザーショップ2
14,たびのしおり,ダンジョン,異世界でセーブできる。,バザーショップ2
15,ほねつきにく,にく,敵の魔物を仲間にしやすくする。あるいは味方の野生度を下げる。,バザーショップ2
16,まふうじのつえ,つえ,呪文に属する特技を封じる。,バザーショップ2
17,しもふりにく,にく,敵の魔物を仲間にしやすくする。あるいは味方の野生度を下げる。,バザーショップ3
18,ぎんのたてごと,ダンジョン,その場で戦闘開始。,バザーショップ3
19,てんばつのつえ,つえ,バギ系敵全体攻撃。,バザーショップ3
20,マグマのつえ,つえ,炎系敵全体攻撃。,バザーショップ3
21,いかづちのつえ,つえ,ディン系敵全体攻撃。,バザーショップ3
22,ふぶきのつえ,つえ,ヒャド系敵全体攻撃。,バザーショップ3
23,ほのおのつえ,つえ,メラ系敵単体攻撃。,バザーショップ3
24,ぼうけんたん,ほん,性格を勇気よりに変える。,バザーショップ4
25,こわいはなしのほん,ほん,性格をおくびょうよりに変える。,バザーショップ4
26,やさしくなれるほん,ほん,性格を思いやり深いよりに変える。,バザーショップ4
27,ずるっこのほん,ほん,性格をずる賢いよりに変える。,バザーショップ4
28,あたまがさえるほん,ほん,性格を思慮深いよりに変える。,バザーショップ4
29,ユーモアのほん,ほん,性格を間抜けよりに変える。,バザーショップ4
30,やくそう,回復,HPを30前後回復。,道具屋
31,アモールのみず,回復,HPを70前後回復。,道具屋
32,どくけしそう,回復,毒状態を回復。,道具屋
33,せかいじゅのは,回復,仲間単体の戦闘不能状態を回復。,道具屋
34,まんげつそう,回復,マヒ状態を回復,道具屋
35,めざめのこな,回復,眠り状態を回復,道具屋
36,てんしのすず,回復,混乱状態を回復,道具屋
37,げっけいじゅ,回復,呪い状態を回復,道具屋
38,いのちのきのみ,たね,最大HPを5増やす。,マップドロップ
39,ふしぎなきのみ,たね,最大MPを5増やす。,マップドロップ
40,ちからのたね,たね,攻撃力を3増やす。,マップドロップ
41,まもりのたね,たね,防御力を3増やす。,マップドロップ
42,すばやさのたね,たね,素早さを3増やす。,マップドロップ
43,かしこさのたね,たね,賢さを3増やす。,マップドロップ
44,ルーラのつえ,つえ,次の落とし穴までワープ。,マップドロップ
45,くさったにく,にく,敵の魔物を仲間にしやすくするが毒状態。あるいは味方の野生度を下げるが毒状態。,マップドロップ
46,エルフののみぐすり,回復,仲間単体MPを全回復,マップドロップ
47,ちいさなメダル,ダンジョン,小さなメダルおじさんに渡す。,マップドロップ
