id,name_ja,description_ja
1,ドラゴスライム,小さな羽としっぽを使ってジャンプして移動する。
2,ぶちスライム,ぶち模様がありスライムよりもふた周りほど大きい。
3,はねスライム,体の一部が変化した羽を羽ばたかせて飛び回る
4,スライムツリー,日光を受けて頭のハッパで光合成をする。
5,スライムつむり,攻撃されると背負っている貝殻の中に隠れる。
6,スライムナイト,乗っているように見えるナイトは実は体の一部。
7,バブルスライム,スライムよりも柔らかくいろんな形に変形できる。
8,ボックススライム,バブルスライムが宝箱の中で四角く固まった。
9,スライム,数が多くもっともポピュラーな種族。
10,ホイミスライム,体からはえる数十本の触手を器用に使う。
11,スライムファング,赤い立派なたてがみを持ち勇敢で誇り高い。
12,ストーンスライム,岩のようなヒフの中には体液が詰まっている。
13,スライムボーグ,体の中には血の代わりに潤滑油がめぐっている。
14,スラッピー,発達した後ろ足で逃げ足だけは速い。
15,ぶちキング,ぶちスライムが集まって合体した種族。
16,キングスライム,スライムが発達して合体した種族。
17,メタルスライム,いつも鉱石を食べているので金属の体になった。
18,はぐれメタル,体からは強い武器の材料が生成される。
19,メタルキング,メタルスライムが発達して合体した種族。
20,ゴールデンスライム,金に輝く体を持つ最強のスライム。
21,ドラゴンキッズ,成長しても体はこれ以上大きくならない。
22,ガメゴン,硬いこうらを持っているがこうらの中には閉じこもれない。
23,プテラノドン,翼のように発達したヒフで大空を飛び回る。
24,フーセンドラゴン,体の中にガスをためてぷかぷかと浮かび上がる。
25,フェアリードラゴン,長い舌をのばして大きな花の蜜を吸う。
26,リザードマン,頭がよく人間のように剣と盾を使いこなす。
27,ポイズンリザード,背中から出る体液はサンショウの匂いがする。
28,ソードドラゴン,体中が剣のようにとがったトゲで覆われている。
29,ドラゴン,ドラゴンの中で最も古い時代から生きている。
30,コドラ,前足と長いしっぽでバランスを取って走る。
31,ドラゴンマッド,まぬけな顔をしているが性格はきょうぼう。う
32,ライバーン,大きな獲物も後ろ足でつかんで空を飛べる。
33,おおイグアナ,周りの景色に溶け込むように体の色を自由に変える。
34,リザードフライ,薄い羽をはばたかせて空中で静止できる。
35,アンドレアル,鋭いツメと長いキバは強力な威力を持つ。
36,キングコブラ,鋭いキバがら毒を出す。噛み付かれるとキケン。
37,デンタザウルス,硬い甲羅とトゲに変化したヒフで敵から見を守る。
38,グレイトドラゴン,ドラゴンの中で最も体が大きく成長する。
39,とさかへび,派手なとさかを震わせてであった敵をいかくする。
40,ウイングスネーク,翼のように変化したヒフを大きく広げてかっくうする。
