id,category_ja,family_ja,name_ja,description_ja
1,攻撃系,メラ系,メラ,てきをひのたまでこうげき
2,攻撃系,メラ系,メラミ,おおきなひのたまでこうげき
3,攻撃系,メラ系,メラゾーマ,ひばしらでてきをやきつくす
4,攻撃系,メラ系,かえんぎり,もえるほのおのけんぎ
5,攻撃系,メラ系,ビッグバン,（全）ものすごいだいばくはつ
6,攻撃系,ギラ系,ギラ,（全）てきをほのおでこうげき
7,攻撃系,ギラ系,ベキラマ,（全）てきをほのおでつつみこむ
8,攻撃系,ギラ系,ベギラゴン,（全）すごいほのおがもえあがる
9,攻撃系,イオ系,イオ,（全）てきをばくはつでこうげき
10,攻撃系,イオ系,イオラ,（全）れんぞくでばくはつ
11,攻撃系,イオ系,イオナズン,（全）すさまじいばくはつ
12,攻撃系,バギ系,バギ,（全）てきをかまいたちでこうげき
13,攻撃系,バギ系,バギマ,（全）てきをたつまきでこうげき
14,攻撃系,バギ系,バギクロス,（全）すごいたつまきがふきあれる
15,攻撃系,バギ系,かまいたち,てきにむけてかまいたちをはなつ
16,攻撃系,バギ系,しんくうは,（全）すごいしんくうをまきおこす
17,攻撃系,バギ系,しんくうぎり,うずまくしんくうのけんぎ
18,攻撃系,バギ系,グランドクロス,（全）てきをじゅうじにきりさく
19,攻撃系,ディン系,ディン,（全）てきをかみなりでこうげき
20,攻撃系,ディン系,ライディン,（全）てきにいなずまがおちる
21,攻撃系,ディン系,ギガディン,（全）すごいいなずまがまきおこる
22,攻撃系,ディン系,いなずま,（全）いなずまをよびよせる
23,攻撃系,ディン系,いなずまぎり,ひかるいなずまのけんぎ
24,攻撃系,ディン系,ジゴスパーク,（全）すごいいなずまでこうげき
25,攻撃系,ヒャド系,ヒャド,（全）てきをこおりでこうげき
26,攻撃系,ヒャド系,ヒャダルコ,（全）てきをこおりつかせる
27,攻撃系,ヒャド系,マヒャド,（全）すごいふぶきがふきつける
28,攻撃系,ヒャド系,マヒャドぎり,いてつくこおりのけんぎ
29,攻撃系,ザキ系,ザキ,いっしゅんでいきのねをとめる
30,攻撃系,ザキ系,ザラキ,（全）いきのねをとめる
31,攻撃系,ザキ系,しのおどり,（全）いっしゅんでてきをたおす
32,攻撃系,メガンテ系,メガンテ,（全）じばくしててきをたおす
33,攻撃系,メガンテ系,たいあたり,こんしんのちからでたいあたり
34,攻撃系,メガンテ系,とっこう,てきもじぶんもひんしに
35,攻撃系,マダンテ系,マダンテ,（全）さいきょうのまほう
36,攻撃系,仲間系,がんせきおとし,（全）てきにおおいわをブンなげる
37,攻撃系,仲間系,なかまをよぶ,なかまをよんでこうげき
38,攻撃系,仲間系,おおごえでさけぶ,おおぜいのなかまをよんでこうげき
39,攻撃系,炎系,ひのいき,（全）くちからひをはく
40,攻撃系,炎系,かえんのいき,（全）もえるほのおをくちからはく
41,攻撃系,炎系,はげしいほのお,（全）すごいほのおでやきつくす
42,攻撃系,炎系,しゃくねつ,（全）そうぞうをこえるほのお
43,攻撃系,吹雪系,つめたいいき,（全）くちかられいきをはく
44,攻撃系,吹雪系,こおりのいき,（全）てきをこおらせるいきをはく
45,攻撃系,吹雪系,こごえるふぶき,（全）すごいいきおいのふぶきをはく
46,攻撃系,吹雪系,かがやくいき,（全）しろくかがやくいきをはく
47,攻撃系,毒系,どくこうげき,こうげきしたあいてをどくでおかす
48,攻撃系,マヒ系,まひこうげき,こうげきしたあいてをマヒさせる
49,攻撃系,ラリホー系,ねむりこうげき,こうげきしたあいてをねむらせる
50,攻撃系,ギガスラッシュ系,ギガスラッシュ,さいきょうのけんぎ
51,攻撃系,攻撃系,もろばぎり,きけんをかえりみずこうげきする
52,攻撃系,攻撃系,あくまぎり,あくまにたいしてだいダメージ
53,攻撃系,攻撃系,しっぷうづき,さいしょにこうげきできる
54,攻撃系,攻撃系,スライムたたき,スライムにたいしてだいダメージ
55,攻撃系,攻撃系,ゾンビぎり,ゾンビにたいしてだいダメージ
56,攻撃系,攻撃系,だいせつだん,ぶっしつにたいしてだいダメージ
57,攻撃系,攻撃系,つばめがえし,とりにたいしてだいダメージ
58,攻撃系,攻撃系,ドラゴンぎり,ドラゴンにたいしてだいダメージ
59,攻撃系,攻撃系,メタルぎり,かたいてきにかくじつにダメージ
60,攻撃系,攻撃系,けものぎり,けものにたいしてだいダメージ
61,攻撃系,攻撃系,こうらがえし,むしにたいしてだいダメージ
62,攻撃系,攻撃系,えだはらい,しょくぶつにたいしてだいダメージ
63,攻撃系,攻撃系,すてみ,すてみになってこうげき
64,攻撃系,攻撃系,さみだれぎり,（全）てきぜんいんにこうげき
65,攻撃系,攻撃系,まじんぎり,まじんのようにこうげき
66,攻撃系,攻撃系,れんぞくこうげき,2かいれんぞくでこうげき
67,攻撃系,攻撃系,ばくれつけん,4かいれんぞくでこうげき
68,攻撃系,攻撃系,みなごろし,てきかみかたにだいダメージ
69,補助系,マヌーサ系,マヌーサ,（全）てきをまぼろしでつつみこむ
70,補助系,マヌーサ系,すなけむり,（全）すなけむりをまきおこす
71,補助系,マヌーサ系,まぶしいひかり,（全）すごいひかりでめくらまし
72,補助系,ラリホー系,ラリホー,てきをねむらせる
73,補助系,ラリホー系,ラリホーマ,（全）てきぜんいんをねむらせる
74,補助系,ラリホー系,あまいいき,（全）てきをあまいいきでねむらせる
75,補助系,ザキ系,ぶきみなひかり,（全）てきをまほうによわくする
